FOXA1
DYRK2
FUBP1
SYNC
IFI44L
NPC1
IL20RA
AKR1D1
FMO5
HDAC2
TIMP1
RSU1
HACD1
LAMP3
CLMN
CCNB1IP1
HDDC2
SAMSN1
IL32
ACE2
S100A2
LRRFIP2
NQO2
DUSP6
PLSCR4
ARMCX1
TUSC3
TM9SF4
C3AR1
F13A1
KRT5
SEPP1
LRRFIP1
JAG1
PRR15L
CD47
BTBD3
TYROBP
PUS7
ATP6V0D1
HEATR1
PRPF3
TANK
AP1M2
PDZD2
ACOX1
C1QBP
AIF1
DYRK4
IGF2R
SLC25A1
SMA4
MMD
RUNX3
ADAMTS1
KLF5
RHOB
ZNF91
ANPEP
CLEC5A
IRX5
NMT2
CDR2L
CTSS
WWC3
GSAP
IER5
SUZ12
IL18
ISG20
C21orf59
RPL31
FBLN2
TFEC
NUP153
ZDHHC13
SLC26A2
DLGAP5
IRF1
PTPRE
CALML4
NANS
MX2
MCM10
SLC1A3
TK1
GPAA1
DHRS7B
TNIK
SAV1
NR3C1
HPX
SAMHD1
HMGCR
TRIM2
PDCD5
EIF1AX
ADGRA3
CRIP2
ENPP1
KRT7
BAG2
NFIL3
HDGFRP3
CDS1
CKAP2
CEACAM7
RAB27A
PDLIM2
CLEC7A
SMURF2
PCK2
CPVL
SFT2D2
ASAP2
CLEC10A
CPB2
PTGIS
NNT
ERLIN2
ANKLE2
PFDN4
PIK3CA
TFAP2A
SLBP
LYPD3
RTP4
FGL2
SKP2
IFITM1
NFIB
KCTD12
MAP3K7
GRB7
GAMT
DR1
